ODE,N,timeFrontend,timeBackend,timeSimCode,timeTemplates,timeCompile,timeSimulation,timeTotal
1,10,0.11789036100000001,0.050934131999999965,0.011203250000000001,0.01917263,0.504701002,0.021150486,0.7252405239999999
1,20,0.5383419389999999,0.092888383,0.023655553000000003,0.021999477,0.6840846730000001,0.037902849,1.399019015
1,40,0.17381868199999995,0.662479723,0.040660242,0.034161250000000004,0.926797888,0.064915392,1.902955989
1,80,0.17723003199999998,0.5073464630000001,0.08452717500000001,0.065912237,1.468401916,0.161663716,2.465195843
1,160,0.334155588,1.255643156,0.19013790099999994,0.129849922,2.400516592,0.39970190399999994,4.71011966
1,320,0.435831493,1.938325299,0.383268422,0.3677453869999999,4.50099382,1.045520765,8.671797418
1,640,0.670515349,4.851077551,1.088457057,0.5973299320000001,9.307279044,4.142572101,20.657366343
1,1280,1.454817975,15.326647835,2.515246584,1.084329138,17.380214391,15.358188416,53.119568392
0,10,0.117866386,0.046884405000000004,0.031485936,0.025554298000000003,0.502093656,0.026724797,0.7251712619999999
0,20,0.13191297700000001,0.09887641600000001,0.048943046000000004,0.03621705,0.589811066,0.041353442000000004,0.911000415
0,40,0.144964814,0.17177223700000002,0.079009485,0.055799964,0.829520612,0.06814217900000001,1.293543471
0,80,0.15384935200000002,0.536412469,0.150479457,0.096789815,1.041824706,0.15050813400000002,2.033181651
0,160,0.214169557,0.758839001,0.41197814,0.1911276529999999,1.31069812,0.368752407,3.064550298
0,320,0.3300454159999999,1.857690214,0.7218565250000001,0.5165841010000001,1.967642731,0.872060552,5.749398706
0,640,0.5443505,4.551863249,1.254750885,0.7798187480000001,3.328268022,3.580518636,13.25989002
0,1280,1.265685247,15.321568324,2.875579735,1.952173112,6.393594321,16.273104127,42.129647307
